,name,age,position,ovr_rating,pot_rating
0,Lionel Messi,31,CFSTRW,94,94
1,Cristiano Ronaldo,33,LWST,94,94
2,Neymar,26,LW,92,93
3,Luis Suárez,31,ST,92,92
4,Manuel Neuer,32,GK,92,92
5,De Gea,27,GK,91,93
6,Kevin De Bruyne,27,CAMCM,91,92
7,Robert Lewandowski,30,ST,91,91
8,Eden Hazard,27,LWCF,91,91
9,Toni Kroos,28,CMCDM,90,90
10,Mats Hummels,29,CB,90,90
11,Gonzalo Higuaín,30,ST,90,90
12,Sergio Ramos,32,CB,90,90
13,Paulo Dybala,24,CAMST,89,94
14,Jan Oblak,25,GK,89,93
15,Thibaut Courtois,26,GK,89,92
16,Luka Modrić,33,CMCDM,89,89
17,David Silva,32,CAMCM,89,89
18,Sergio Agüero,30,ST,89,89
19,Giorgio Chiellini,34,CB,89,89
20,Gianluigi Buffon,40,GK,89,89
21,N'Golo Kanté,27,CDMCM,88,90
22,Harry Kane,25,ST,88,91
23,Paul Pogba,25,CMCDM,88,92
24,Antoine Griezmann,27,STRWLW,88,89
25,Christian Eriksen,26,CAMRMCM,88,91
26,Thiago,27,CMCAMCDM,88,89
27,Alexis Sánchez,29,LWSTLM,88,88
28,Diego Godín,32,CB,88,88
29,Edinson Cavani,31,ST,88,88
0,Gareth Bale,29,RWSTLW,88,88
1,Hugo Lloris,31,GK,88,88
2,Samir Handanovič,34,GK,88,88
3,Mohamed Salah,26,RW,87,90
4,Mauro Icardi,25,ST,87,91
5,Marco Verratti,25,CMCDM,87,90
6,James RodríguezL,27,CAMCMRM,87,90
7,Lorenzo Insigne,27,LW,87,88
8,Marc-André ter Stegen,26,GK,87,90
9,Sergio Busquets,30,CDMCM,87,87
10,Jordi Alba,29,LB,87,87
11,Coutinho,26,LWLMRMCM,87,90
12,Pierre-Emerick Aubameyang,29,ST,87,87
13,Jérôme Boateng,30,CB,87,87
14,Marcelo,30,LB,87,87
15,Mesut Özil,29,CAMRW,87,87
16,Dries Mertens,31,CFST,87,87
17,Marek Hamšík,31,CM,87,87
18,Thiago Silva,33,CB,87,87
19,Piqué,31,CB,87,87
20,Arjen Robben,34,RMRW,87,87
21,Iniesta,34,CMLM,87,87
