,name,age,position,ovr_rating,pot_rating
0,Lionel Messi,22,RWM,90,95
1,Casillas,28,GK,90,92
2,Júlio César,29,GK,89,90
3,Cristiano Ronaldo,24,RWM,89,94
4,Franck Ribéry,26,LM,88,92
5,Nemanja Vidić,27,CB,88,90
6,Kaká,27,CAM,88,92
7,Fernando Torres,25,ST,88,91
8,Zlatan Ibrahimović,27,ST,88,91
9,Steven Gerrard,29,CAM,88,91
10,Puyol,31,CB,88,90
11,Gianluigi Buffon,31,GK,88,92
12,Francesc Fabregas,22,CM,87,91
13,Diego,24,CAM,87,90
14,David Villa,27,ST,87,92
15,Wayne Rooney,23,CF,87,91
16,John Terry,28,CB,87,90
17,Xavi,29,CM,87,90
18,Frank Lampard,31,CAM,87,88
19,Andrés Iniesta,25,CAM,87,90
20,David Silva,23,LM,86,90
21,Dani Alves,26,RWB,86,90
22,Giorgio Chiellini,25,CB,86,90
23,Esteban Cambiasso,29,CDM,86,88
24,Maicon,28,RWB,86,88
25,Philipp Lahm,25,RWB,86,89
26,Diego Forlán,30,ST,86,87
27,Michaël Essien,26,CM,86,89
28,Samuel Eto'o,28,ST,86,90
29,Antonio Cassano,27,CF,86,89
0,Rio Ferdinand,30,CB,86,89
1,Sebastien Frey,29,GK,86,89
2,Francesco Totti,32,CF,86,92
3,Alessandro Del Piero,34,CF,86,90
4,Karim Benzema,21,ST,85,91
5,Robert Enke,32,GK,85,86
6,Sergio Ramos,23,RB,85,91
7,Yoann Gourcuff,23,CAM,85,92
8,Mario Gomez,24,ST,85,90
9,Igor Akinfeev,23,GK,85,90
10,Andrey Arshavin,28,CF,85,91
11,Carlos Tévez,25,CF,85,90
12,Javier Mascherano,25,CDM,85,88
13,Diego Milito,30,ST,85,86
14,Luís Fabiano,28,ST,85,86
15,Robinho,25,LWM,85,90
16,Antonio Di Natale,31,LF,85,86
17,Kolo Touré,28,CB,85,87
18,Lúcio,31,CB,85,88
19,Daniele De Rossi,26,CDM,85,89
